TICKER	GAIN	RESULT	TRADES

IOT		1.007	1315	394
IOT		1.008	1442	336
IOT		1.009	1371	294
IOT		1.010	1412	244
IOT		1.011	1476	200
IOT		1.012	1365	172
IOT		1.013	1356	158
IOT		1.014	1312	132
IOT		1.015	1352	116
IOT		1.016	1342	100
IOT		1.017	1311	88
IOT		1.018	1216	74
IOT		1.019	1221	62
IOT		1.02	1232	56


LTC		1.007	994		86
LTC		1.008	1012	50
LTC		1.009	988		36
LTC		1.010	993		30
LTC		1.011	1036	20
LTC		1.012	1044	18
LTC		1.013	986		10
LTC		1.014	990		8
LTC		1.015	995		6
LTC		1.02	1000	0


OMG		1.007	1115	322
OMG		1.008	1120	280
OMG		1.009	1125	244
OMG		1.010	1033	208
OMG		1.011	1073	178
OMG		1.012	1028	154
OMG		1.013	1081	130
OMG		1.014	1181	104
OMG		1.015
OMG		1.02


XMR		1.007	930		446
XMR		1.008	876		370
XMR		1.009	890		298
XMR		1.010	907		250
XMR		1.011	827		210
XMR		1.012	949		174
XMR		1.013	1075	144
XMR		1.014	1095	118
XMR		1.015	1045	106
XMR		1.02	1061	50
